title,body,tituloBemDefinido,tituloMedio,tituloCaixaAlta,tituloParCaixaAlta,coerencia,perguntaBemDefinida,vocativo,evDescricaoCurta,evDescricaoLonga,presencaCodigo,evTrechoGrandeCodigo,evPergComApenasCod,perguntaUnica,incluirAgradecimento,evSerExigente,usoNormaCultaLing,evCriarPergDuplicada,evPergFactoides,evPergSobreTrabAcademicos,incluirLinkPergunta,Link
Datetime independente,"Estou desenvolvendo um aplicativo para geração de senha ""time on based TOTP"", mas estou tendo dificuldade quando o fuso horário do celular está desativado ou o usuário modifica a data/hora.

Já pensei em fazer o sincronismo da data com NTP para o SystemClock, mas quando o aparelho é reiniciado a data volta para a hora alterada.

É possível criar um relógio independente?",1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/98978/datetime-independente,
Como colocar a imagem do artista que está tocando na tela de bloqueio do Android?,"Estou fazendo um projeto de player para Android e consegui criar a notificação mediaStyle, porém como faço para colocar também a capa do álbum como background na tela de bloqueio?",1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,http://pt.stackoverflow.com/questions/97862/como-colocar-a-imagem-do-artista-que-est%C3%A1-tocando-na-tela-de-bloqueio-do-android,
Problema com java.util.NoSuchElementException,"Erro:

java.util.NoSuchElementException: No child 'runtime-name' exists
Gostaria de uns conselhos sobre esta mensagem que estar surgindo na minha aplicação... o erro esta acima.

",1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,http://pt.stackoverflow.com/questions/100718/problema-com-java-util-nosuchelementexception,
"Programação - Erro ao Passar Parâmetro da View para o Controller, JSF e Primefaces","Preciso de ajuda nessa situação.

Ao clicar em um botão, direciono para a pagina, conforme abaixo:

<h:form>
    <p:toolbar style=""margin-top: 20px"">
      <p:toolbarGroup align=""left"">
       <p:button value=""Manipular Tabela"" outcome=""/eventos/PesquisaEventos"" />
     </p:toolbarGroup>
    </p:toolbar>
 </h:form>
Na pagina PesquisaEventos tem uma p:dataTable que aponta para o Bean Eventos e chama o metodo lista Evento, conforme abaixo:

<p:dataTable id=""eventoTable"" value=""#{eventos.listaEvento}"" var=""evento"" 
                 rows=""10"" paginator=""true"" paginatorAlwaysVisible=""false"" paginatorPosition=""bottom""
                 emptyMessage=""Nenhum Evento encontrado."">

         <p:column headerText=""Rubrica"" style=""text-align: center; width: 10px"">
            <h:outputText value=""#{evento.codigoRubrica}"">

            </h:outputText>
        </p:column>
  </p:dataTable>
Esse é o Bean Eventos:

@Named(""eventos"")
@SessionScoped
public class ListarEventosBean implements Serializable {

    private static final long serialVersionUID = 1L; 

    @Inject
    private TabelaEventos tabeventos;

    private List<Evento> listaEvento;
    private String parametro;
    private String opcao;


    public void lerTabelaEventos(String tipoacao)
    {
        listaEvento = tabeventos.tabelaEvento(tipoacao);
    }

    public List<Evento> getListaEvento() {

        //System.out.println(""Parametro para ler Registros ANTES:""+getOpcao());

        if (getOpcao() == null){
            setOpcao(""Todos"");
        }
        else {
            setOpcao(parametro);
        }
        //System.out.println(""Parametro para ler Registros DEPOIS:""+getOpcao());
        lerTabelaEventos(getOpcao());
        return listaEvento;
    }   

    //Evento Actionlistener
    public void atribuirParametro(ActionEvent event){

        parametro = (String)event.getComponent().getAttributes().get(""acao"");

        setOpcao(parametro);
        //System.out.println(""Parametro de Entrada:""+getOpcao());   
        lerTabelaEventos(getOpcao());

    }

    public String getOpcao() {
        return opcao;
    }


    public void setOpcao(String opcao) {
        this.opcao = opcao;
    }

}
Na mesma pagina tenho um p:commandButton conforme abaixo:

<p:commandButton id=""provento"" value=""Proventos"" actionListener=""#{eventos.atribuirParametro}"">

                <f:attribute name=""acao"" value=""proventos""/>    

                <p:ajax  update=""eventoTable"" />

             </p:commandButton>
Não estou conseguindo trocar o valor da variavel na Bean.

A primeiro vez que alimento a p:dataTable é verificado que o valor é null e assume o valor de ""Todos"".

Quando clico no botão PROVENTO é enviado como parametro o valor proventos conforme o f:atrribute, so que na bean o valor do parametro é atribuido mas quando o metodo listaEvento é chamado o valor da variavel opcao é sempre null e manda o valor ""Todos"" para fazer a consulta na tabela e o DataTable sempre recebe todos os registros. O valor do parametro enviado pela View se perde.

Se alguem puder dar uma ajuda para resolver esse problema informando onde estou errando, agradeço.",1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,http://pt.stackoverflow.com/questions/102752/programa%C3%A7%C3%A3o-erro-ao-passar-par%C3%A2metro-da-view-para-o-controller-jsf-e-primefac,
Erro ao executar aplicação android studio - Execution failed for task ':app:transformClassesWithDexForDebug',"Error:Execution failed for task ':app:transformClassesWithDexForDebug'

Ao executar a aplicação estou recebendo essa mensagem de erro:

com.android.build.api.transform.TransformException: com.android.ide.common.process.ProcessException: org.gradle.process.internal.ExecException: Process 'command 'C:\Program Files\Java\jdk1.7.0_79\bin\java.exe'' finished with non-zero exit value 1
Minha configuração da glande está assim:

apply plugin: 'com.android.application'

android {
    compileSdkVersion 23
    buildToolsVersion ""22.0.1""

    defaultConfig {
        applicationId ""br.com.gerenciarsc.nfce""
        minSdkVersion 12
        targetSdkVersion 23
        versionCode 1
        versionName ""1.0""
        multiDexEnabled true
    }
    buildTypes {
        release {
            minifyEnabled false
            proguardFiles getDefaultProguardFile('proguard-android.txt'), 'proguard-rules.pro'
        }
    }
}

dependencies {
    compile fileTree(dir: 'libs', include: ['*.jar'])
    compile('org.simpleframework:simple-xml:2.7.1') {
        exclude group: 'xpp3', module: 'xpp3'
        exclude group: 'stax', module: 'stax-api'
        exclude group: 'stax', module: 'stax'
    }
    compile 'com.google.code.gson:gson:2.5'
    compile 'com.android.support:appcompat-v7:23.1.1'
    compile 'com.j256.ormlite:ormlite-core:4.48'
    compile 'com.j256.ormlite:ormlite-android:4.48'
    compile 'com.beardedhen:androidbootstrap:2.0.0'
    compile 'com.android.support:multidex:1.0.1'
    compile 'com.android.support:design:23.1.1'
    compile 'com.journeyapps:zxing-android-embedded:3.0.2@aar'
    compile 'com.google.zxing:core:3.2.0'
    compile 'br.com.uol.ps:library:0.8'
    compile 'com.android.support:support-v4:23.1.1'
    compile 'javax.xml.crypto:jsr105-api:1.0.1'
    compile ('commons-io:commons-io:2.4'){
        exclude group: 'org.apache.commons.collections', module: 'org.apache.commons.collections'
    }    
}
Porem tentei várias maneiras e nada da certo ao executar a aplicação, já estou usando o MultiDex, o erro passou a acontecer após adicionar as dependências abaixo:

compile 'javax.xml.crypto:jsr105-api:1.0.1'
compile 'commons-io:commons-io:2.4'
Alguém poderia me ajudar",0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,http://pt.stackoverflow.com/questions/108102/erro-ao-executar-aplica%C3%A7%C3%A3o-android-studio-execution-failed-for-task-apptran,
Fragment com Navigation Drawer do Android Studio,"Eu estava tentando iniciar um Fragmento dependendo do clique no Navigation Drawer que o Android Studio cria... O código fica assim

public class MainActivity extends AppCompatActivity implements NavigationView.OnNavigationItemSelectedListener {
    public View onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState){
        return inflater.inflate(R.layout.activity_main,container,false);
    }

    @Override
    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_main);
        Toolbar toolbar = (Toolbar) findViewById(R.id.toolbar);
        setSupportActionBar(toolbar);

        FloatingActionButton fab = (FloatingActionButton) findViewById(R.id.fab);
        fab.setOnClickListener(new View.OnClickListener() {
            @Override
            public void onClick(View view) {
                Snackbar.make(view, ""Avaliação"", Snackbar.LENGTH_LONG)
                        .setAction(""Action"", null).show();
            }
        });

        DrawerLayout drawer = (DrawerLayout) findViewById(R.id.drawer_layout);
        ActionBarDrawerToggle toggle = new ActionBarDrawerToggle(
                this, drawer, toolbar, R.string.navigation_drawer_open, R.string.navigation_drawer_close);
        drawer.setDrawerListener(toggle);
        toggle.syncState();

        NavigationView navigationView = (NavigationView) findViewById(R.id.nav_view);
        navigationView.setNavigationItemSelectedListener(this);
    }

    @Override
    public void onBackPressed() {
        DrawerLayout drawer = (DrawerLayout) findViewById(R.id.drawer_layout);
        if (drawer.isDrawerOpen(GravityCompat.START)) {
            drawer.closeDrawer(GravityCompat.START);
        } else {
            super.onBackPressed();
        }
    }

    @Override
    public boolean onCreateOptionsMenu(Menu menu) {
        // Inflate the menu; this adds items to the action bar if it is present.
        getMenuInflater().inflate(R.menu.main, menu);
        return true;
    }

    @Override
    public boolean onOptionsItemSelected(MenuItem item) {
        // Handle action bar item clicks here. The action bar will
        // automatically handle clicks on the Home/Up button, so long
        // as you specify a parent activity in AndroidManifest.xml.
        int id = item.getItemId();

        //noinspection SimplifiableIfStatement
        if (id == R.id.action_settings) {
            return true;
        }

        return super.onOptionsItemSelected(item);
    }

    @SuppressWarnings(""StatementWithEmptyBody"")
    @Override
    public boolean onNavigationItemSelected(MenuItem item) {
        // Handle navigation view item clicks here.
        FragmentManager fragmentM = getFragmentManager();
        Fragment fragment = null;

        int id = item.getItemId();
        switch(id){
            case 1:
                fragment = new Classe();

        }
        fragmentM.beginTransaction().replace(R.id.container,fragment).commit();

        DrawerLayout drawer = (DrawerLayout) findViewById(R.id.drawer_layout);
        drawer.closeDrawer(GravityCompat.START);
        return true;
    }
}
Porém, no trecho:

fragmentM.beginTransaction().replace(R.id.container,fragment).commit();
O ""container"" fica com erro, alguém sabe o que pode ser?",1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/105677/fragment-com-navigation-drawer-do-android-studio,
Como preencher um DrawerBuilder dinamicamente usando um adapter e RecyclerView. Material Design,"Olá tudo bem? Gostaria de saber como preencher um DrawerBuilder sem a necessidade de criar um DrawerBuilder para cada activity. Quero setar apenas uma unica DrawerBuilder e ser acessivel para todas as activity existentes no projeto.

Segue abaixo minha MainActivity.

public class MainActivity extends AppCompatActivity {

private AccountHeader headerResult = null;
private Drawer result = null;
private IProfile perfilCoach;
private IProfile perfilEmpresa;


@Override
protected void onCreate(Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
    setContentView(R.layout.activity_main);
    Toolbar toolbar = (Toolbar) findViewById(R.id.toolbar);
    setSupportActionBar(toolbar);

    // Cria os perfis do Drawer Header
    perfilCoach = new ProfileDrawerItem().withName(""Thiago Soares Pereira"").withEmail(""ths.pereira@gmail.com"").withIcon(getResources().getDrawable(R.mipmap.ic_thiago));
    perfilEmpresa = new ProfileDrawerItem().withName(""NetCriativa Design"").withEmail(""thiago@netcriativa.com.br"").withIcon(getResources().getDrawable(R.mipmap.ic_netcriativa)).withIdentifier(1);

    // Cria a AccountHeader
    buildHeader(false, savedInstanceState);


    //Cria o drawer
    result = new DrawerBuilder()
            .withActivity(this)
            .withToolbar(toolbar)
            .withAccountHeader(headerResult) //set the AccountHeader we created earlier for the header
            .addDrawerItems(
                    new PrimaryDrawerItem().withName(""Painel"").withIcon(R.drawable.ic_desktop_mac_24dp).withIdentifier(45684984),
                    new PrimaryDrawerItem().withName(""Cadastros"").withIcon(R.drawable.ic_add_circle_24dp),
                    new PrimaryDrawerItem().withName(""Mapeamento"").withIcon(R.drawable.ic_view_module_24dp),
                    new PrimaryDrawerItem().withName(""Pesquisas"").withIcon(R.drawable.ic_insert_comment_24dp),
                    new PrimaryDrawerItem().withName(""Créditos"").withIcon(R.drawable.ic_stars_24dp),
                    new PrimaryDrawerItem().withName(""Adquirir"").withIcon(R.drawable.ic_add_shopping_cart_24dp),
                    new PrimaryDrawerItem().withName(""Perfil"").withIcon(R.drawable.ic_person_24dp),
                    new PrimaryDrawerItem().withName(""Vendas"").withIcon(R.drawable.ic_wallet_travel_24dp),
                    new SectionDrawerItem().withName(""Configuraçoes e Feedback""),
                    new SecondaryDrawerItem().withName(""Configurações"").withIcon(R.drawable.ic_settings_24dp),
                    new SecondaryDrawerItem().withName(""Enviar Feedback"").withIcon(R.drawable.ic_announcement_24dp))
                    /**.addStickyDrawerItems(
                     new SecondaryDrawerItem().withName(""Thiago OOO"").withIcon(R.mipmap.ic_launcher).withIdentifier(10),
                     new SecondaryDrawerItem().withName(""Abrir Agora"").withIcon(R.mipmap.ic_launcher)
                     )**/
            .withSavedInstance(savedInstanceState)
            .withOnDrawerItemClickListener(new Drawer.OnDrawerItemClickListener() {
                @Override
                public boolean onItemClick(View view, int position, IDrawerItem drawerItem) {
                    // do something with the clicked item :D
                    int id = drawerItem.getIdentifier();
                    switch (id) {
                        case 1:
                            return true;
                        case 2:
                            closeContextMenu();
                            return true;
                        case 3:
                            Snackbar.make(view, ""You Click "" + id + ""th button"", Snackbar.LENGTH_LONG).show();
                            return true;
                        case 4:
                            Snackbar.make(view, ""You Click "" + id + ""th button"", Snackbar.LENGTH_LONG).show();
                            return true;
                        case 5:
                            Snackbar.make(view, ""You Click "" + id + ""th button"", Snackbar.LENGTH_LONG).show();
                            return true;
                        case 45684984:
                            AlertDialog.Builder dialog = new AlertDialog.Builder(MainActivity.this);
                            dialog.setTitle(""Índice Gerais da empresa"");
                            dialog.setMessage(""Deseja realmente ser redirecionado para o painel da empresa?"");
                            dialog.setCancelable(true);
                            dialog.setPositiveButton(""Sim"", new DialogInterface.OnClickListener() {
                                @Override
                                public void onClick(DialogInterface dialog, int which) {
                                    Toast.makeText(MainActivity.this, ""Clicou no Intarface"", Toast.LENGTH_SHORT).show();
                                }
                            });
                            dialog.setNegativeButton(""Nao"", new DialogInterface.OnClickListener() {
                                @Override
                                public void onClick(DialogInterface dialog, int which) {

                                }
                            });
                            dialog.show();
                            return true;
                        case 7:
                            Snackbar.make(view, ""You Click "" + id + ""th button"", Snackbar.LENGTH_LONG).show();
                            return true;
                    }


                    return false;
                }
            })
            .withOnDrawerNavigationListener(new Drawer.OnDrawerNavigationListener() {
                @Override
                public boolean onNavigationClickListener(View clickedView) {
                    //this method is only called if the Arrow icon is shown. The hamburger is automatically managed by the MaterialDrawer
                    //if the back arrow is shown. close the activity
                    Toast.makeText(MainActivity.this, ""onNavigationClickListener: "" + clickedView, Toast.LENGTH_LONG).show();

                    MainActivity.this.finish();
                    //return true if we have consumed the event
                    return true;
                }
            })
            .build();


    FloatingActionButton fab = (FloatingActionButton) findViewById(R.id.fab);
    fab.setOnClickListener(new View.OnClickListener() {
        @Override
        public void onClick(View view) {
            Snackbar.make(view, ""Replace with your own action"", Snackbar.LENGTH_LONG)
                    .setAction(""Action"", null).show();
        }
    });

}

private void buildHeader(boolean compact, Bundle savedInstanceState) {
    // Create the AccountHeader
    headerResult = new AccountHeaderBuilder()
            .withActivity(this)
            .withHeaderBackground(R.color.colorPrimaryDark)
            .withCompactStyle(compact)
            .addProfiles(
                    perfilCoach,
                    perfilEmpresa,
                    //don't ask but google uses 14dp for the add account icon in gmail but 20dp for the normal icons (like manage account)
                    new ProfileSettingDrawerItem().withName(""Configurações"").withIcon(R.drawable.ic_settings_24dp)
            )
            .withOnAccountHeaderItemLongClickListener(new AccountHeader.OnAccountHeaderItemLongClickListener() {
                @Override
                public boolean onProfileLongClick(View view, IProfile profile, boolean current) {
                    Toast.makeText(MainActivity.this, ""onProfileLongClick: "" + profile, Toast.LENGTH_LONG).show();
                    return false;
                }
            })
            .withOnAccountHeaderSelectionViewClickListener(new AccountHeader.OnAccountHeaderSelectionViewClickListener() {
                @Override
                public boolean onClick(View view, IProfile profile) {
                    Toast.makeText(MainActivity.this, ""onClick: "" + profile, Toast.LENGTH_LONG).show();
                    return false;
                }
            })
            .withOnAccountHeaderListener(new AccountHeader.OnAccountHeaderListener() {
                @Override
                public boolean onProfileChanged(View view, IProfile profile, boolean current) {
                    Toast.makeText(MainActivity.this, ""onProfileChanged: "" + profile, Toast.LENGTH_LONG).show();
                    return false;
                }
            })
            .withSavedInstance(savedInstanceState)
            .build();
}

@Override
public boolean onCreateOptionsMenu(Menu menu) {
    // Inflate the menu; this adds items to the action bar if it is present.
    getMenuInflater().inflate(R.menu.menu_main, menu);
    return true;
}

@Override
public boolean onOptionsItemSelected(MenuItem item) {
    // Handle action bar item clicks here. The action bar will
    // automatically handle clicks on the Home/Up button, so long
    // as you specify a parent activity in AndroidManifest.xml.
    int id = item.getItemId();

    //noinspection SimplifiableIfStatement
    if (id == R.id.action_settings) {
        return true;
    }

    return super.onOptionsItemSelected(item);
}
}",1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,http://pt.stackoverflow.com/questions/108408/como-preencher-um-drawerbuilder-dinamicamente-usando-um-adapter-e-recyclerview,
Não consigo injetar dependência do spring durante o teste de integração do Camel,"Estou tendo um problema para injetar dependência quando executo testes de integração pelo Camel.

Primeiro tenho minha classe route:

@Component
public class CoreRouteBuilder extends AbstractMensageiroRouteBuilder {

    @Value(""direct:start"")
    private String endpointEntrada;

    @Value(""mock:result"")
    private String endpointSaida;

    @Override
    public void configureRoute() {
        // @formatter:off
        from(endpointEntrada)
        .bean(MeuProcessor.class)
        .to(endpointSaida);
    }
}
O processor chamado MeuProcessor que é chamado nessa rota é assim:

@Component
public class MeuProcessor {

    @Autowired
    Service service;

    @Handler
    private void fazAlgo(MensagemDto mensagem) {
        service.salvar(mensagem);
   }
}
Minha classe de teste está assim:

    @RunWith(CamelSpringJUnit4ClassRunner.class)
    @ContextConfiguration(classes = { CoreRouteBuilderTest.ContextConfig.class }, loader = CamelSpringDelegatingTestContextLoader.class)
    public class CoreRouteBuilderTest {

        private static final String TOKEN = ""ASF22-BHJSS-ASADA-AFAS-AFDSA"";

        @Produce(uri = ""direct:start"")
        protected ProducerTemplate template;

        @EndpointInject(uri = ""mock:result"")
        protected MockEndpoint resultEndpoint;

        @Configuration
        public static class ContextConfig extends SingleRouteCamelConfiguration {

            @Override
            @Bean
            public RouteBuilder route() {
                CoreRouteBuilder coreRouteBuilder = new CoreRouteBuilder();
                ReflectionTestUtils.setField(coreRouteBuilder, ""endpointEntrada"", ""direct:quote"");
                ReflectionTestUtils.setField(coreRouteBuilder, ""endpointSaida"", ""mock:result"");

                return coreRouteBuilder;
            }
        }

        @Test
        @DirtiesContext
        public void test() throws Exception {

            MensagemDto mensagemDto = new MensagemDto();
            mensagemDto.setAssunto(""opa"");
            mensagemDto.setAssunto(""Assunto"");
            mensagemDto.setCorpo(""Corpo"");
            mensagemDto.setDestinatarios(Collections.singleton(""teste@gmail.com""));
            mensagemDto.setRemetente(""teste.remetente@gmail.com"");
            mensagemDto.setToken(""ASF22-BHJSS-ASADA-AFAS-AFDSA"");

            resultEndpoint.expectedBodiesReceived(mensagemDto);

            MensagemDto mensagemDto2 = new MensagemDto();
            mensagemDto2.setAssunto(""opa"");
            mensagemDto2.setAssunto(""Assunto"");
            mensagemDto2.setCorpo(""Corpo"");
            mensagemDto2.setDestinatarios(Collections.singleton(""teste@gmail.com""));
            mensagemDto2.setRemetente(""teste.remetente@gmail.com"");
            mensagemDto2.setToken(TOKEN);

            template.sendBody(mensagemDto2);

            resultEndpoint.assertIsSatisfied();
    }
Nesse código, minha mensagem enviada pelo teste passa pelo Route e cai no meu processor. Porém, aparece uma mensagem de erro ""Failed to load ApplicationContext"" e causado por ""Could not autowire field"". Isso acontece porque não foi feito a injeção de dependência.

Preciso saber como injeto utilizando o Camel.

Se puderem me ajudar. Abraços.",1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,http://pt.stackoverflow.com/questions/111116/n%C3%A3o-consigo-injetar-depend%C3%AAncia-do-spring-durante-o-teste-de-integra%C3%A7%C3%A3o-do-camel,
Erro ao gerar os .class do ejb,"Tenho um projeto EJB e todavia que vou subir o mesmo ao servidor aparece o seguinte erro:

com.ibm.ejs.container.EJBConfigurationException: The bean class 'exemploClasse' for EJB 'EAR#EJB.jar#exemploClasse' is not found.
Então exportei o projeto EJB e notei que não estava gerando os arquivos .class's, já verifiquei a versão do Java e está tudo certo, o que pode ser?

Obs: Projeto foi importado, não é meu.",0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/110551/erro-ao-gerar-os-class-do-ejb,
AngularJs + (Spring MVC ou Especificacao),"Estou iniciando o desenvolvimento de um sistema (java), e estou com duvida sobre a tecnologia. O sistema é totalmente restrito (login/senha) e vai ser disponibilizado na internet, logo preciso de segurança. Conheço um pouco de AngularJs e queria utilizar o mesmo pela facilidade. Sendo assim, pensei em utilizar o AngularJs + Spring MVC + Spring Security. No meu pensamento eu prefiro o Spring por conta do modulo de segurança (tenho certa experiência), inclusive já fiz testes e consegui colocar segurança nos serviços rest sem muito trabalho. A minha duvida é que algumas pessoas acham isso desnecessário, preferem fazer a camada de front com angular totalmente desacoplada do servidor e implementar a segurança de forma manual, ou seja, criar algo manual mesmo para tratar os usuários autorizados (sessão), e assim proteger o sistema/serviços, essa seria a solução AngularJs + JEE (rest). Essa ultima solução seria baseada em criação de tokens (ou algo assim) de forma manual e tratar tanto no angular como nos serviços rest, porém a principio acho esse tratamento mais complexo e propenso a falhas, o spring do meu ponto de vista ja traz isso pronto. Qual a opnião de vocês? Também preferem a camada de front totalmente desacoplada? Ou alguma sugestão (esquecer angular e partir apenas de spring mvc por exemplo)?

Vou rodar o projeto em um servidor JEE completo. A aplicação terá níveis de usuários, ou seja, algumas paginas e serviços só podem ser acessados por um usuário com perfil administrador por exemplo.

Obs: Meu conhecimento de Spring MVC não é muito amplo, mas já fiz coisas básicas e me pareceu bem simples.

Grato.",1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,http://pt.stackoverflow.com/questions/112302/vraptor-excluir-alguns-sets-para-que-n%C3%A3o-sejam-acessados-por-um-form-da-jsp,
